Q2 - unigram probabilities:
0.190,0.062,0.014,0.031,0.029,0.095,0.016,0.020,0.045,0.057,0.001,0.009,0.039,0.020,0.051,0.061,0.014,0.001,0.056,0.057,0.068,0.024,0.007,0.015,0.001,0.016,0.001,
Q3 - bigram probabilities:
0.000,0.096,0.049,0.075,0.041,0.015,0.038,0.023,0.073,0.059,0.007,0.008,0.036,0.038,0.018,0.054,0.031,0.002,0.025,0.099,0.131,0.010,0.008,0.042,0.000,0.023,0.000,
0.094,0.000,0.014,0.051,0.031,0.000,0.005,0.022,0.001,0.036,0.000,0.017,0.069,0.028,0.154,0.000,0.020,0.000,0.170,0.073,0.118,0.011,0.017,0.030,0.001,0.035,0.002,
0.066,0.147,0.013,0.000,0.000,0.204,0.000,0.000,0.000,0.081,0.004,0.000,0.075,0.000,0.000,0.123,0.000,0.000,0.075,0.027,0.002,0.127,0.000,0.000,0.000,0.054,0.000,
0.014,0.111,0.000,0.005,0.000,0.200,0.000,0.000,0.107,0.027,0.000,0.086,0.152,0.000,0.000,0.095,0.000,0.000,0.072,0.001,0.082,0.042,0.000,0.000,0.000,0.005,0.000,
0.454,0.043,0.001,0.001,0.014,0.133,0.000,0.007,0.001,0.069,0.000,0.000,0.019,0.001,0.010,0.102,0.000,0.000,0.072,0.044,0.000,0.009,0.001,0.000,0.000,0.019,0.000,
0.383,0.048,0.002,0.032,0.050,0.031,0.007,0.003,0.003,0.006,0.000,0.001,0.035,0.017,0.069,0.002,0.008,0.000,0.153,0.076,0.029,0.001,0.012,0.008,0.009,0.012,0.001,
0.251,0.066,0.010,0.002,0.000,0.052,0.064,0.000,0.000,0.106,0.000,0.000,0.061,0.000,0.000,0.203,0.000,0.000,0.099,0.002,0.039,0.042,0.000,0.000,0.000,0.002,0.000,
0.409,0.040,0.000,0.000,0.000,0.100,0.000,0.015,0.122,0.036,0.000,0.000,0.062,0.001,0.009,0.059,0.000,0.000,0.044,0.028,0.009,0.064,0.000,0.000,0.000,0.001,0.000,
0.082,0.110,0.001,0.000,0.000,0.504,0.000,0.000,0.000,0.157,0.000,0.000,0.002,0.000,0.002,0.071,0.000,0.000,0.014,0.005,0.033,0.010,0.000,0.001,0.000,0.005,0.000,
0.039,0.015,0.003,0.100,0.037,0.027,0.018,0.042,0.000,0.000,0.000,0.006,0.056,0.041,0.302,0.028,0.009,0.000,0.034,0.122,0.102,0.001,0.015,0.000,0.001,0.000,0.003,
0.000,0.267,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.159,0.000,0.000,0.000,0.000,0.000,0.444,0.000,0.000,0.000,0.000,0.000,
0.341,0.015,0.000,0.000,0.000,0.226,0.001,0.007,0.001,0.165,0.000,0.000,0.024,0.001,0.081,0.002,0.001,0.000,0.022,0.103,0.000,0.005,0.000,0.003,0.000,0.003,0.000,
0.130,0.154,0.002,0.004,0.034,0.180,0.008,0.000,0.000,0.109,0.000,0.010,0.115,0.005,0.000,0.099,0.004,0.000,0.002,0.020,0.019,0.013,0.006,0.002,0.000,0.082,0.000,
0.200,0.127,0.074,0.001,0.000,0.211,0.001,0.000,0.000,0.081,0.000,0.000,0.005,0.020,0.003,0.115,0.041,0.000,0.044,0.024,0.000,0.027,0.000,0.000,0.000,0.025,0.000,
0.281,0.025,0.000,0.024,0.126,0.086,0.002,0.187,0.000,0.029,0.000,0.012,0.008,0.001,0.010,0.051,0.000,0.000,0.000,0.046,0.094,0.005,0.003,0.000,0.001,0.008,0.001,
